n,estrategia,status,custo,passos,nos_expandidos,fronteira_max,tempo_geracao_s,tempo_busca_s,tempo_total_s,detalhe
12,BFS,OK,55,22,111,11,3.7599999814119656e-05,0.0001604999997653067,0.13496370000029856,
12,DFS,OK,170,68,105,59,4.5200000386103056e-05,0.00026049999996757833,0.13320819999989908,
12,UCS,OK,48,24,114,15,3.8500000300700776e-05,0.00026369999977760017,0.13675039999998262,
40,BFS,OK,177,78,1259,41,0.00033830000029411167,0.0016755999995439197,0.13439540000035777,
40,DFS,OK,1563,690,967,585,0.00034500000037951395,0.0017683999994915212,0.1443699999999808,
40,UCS,OK,125,80,1259,65,0.00019630000042525353,0.0026519000002735993,0.13847160000022996,
100,BFS,OK,429,198,7994,97,0.0009473000000070897,0.00961860000006709,0.14093450000018493,
100,DFS,OK,7858,3544,6362,3608,0.0009546000001137145,0.011404699999729928,0.14691809999931138,
100,UCS,OK,279,204,7993,146,0.0009403999993082834,0.01828139999997802,0.15452899999945657,
200,BFS,OK,875,398,32075,196,0.004003199999715434,0.04095980000056443,0.1777165999992576,
200,DFS,OK,35518,16174,25658,15840,0.0035538000001906767,0.05249389999971754,0.1870349000000715,
200,UCS,OK,553,406,32071,303,0.004387700000734185,0.07718959999965591,0.21599090000017895,
400,BFS,OK,1710,798,127959,373,0.014319800000521354,0.17974969999977475,0.32851019999998243,
400,DFS,OK,143946,65430,101148,64223,0.014433899999858113,0.22681400000055874,0.3724345999999059,
400,UCS,OK,1080,834,127958,585,0.01609539999935805,0.36931100000037986,0.515283300000192,
800,BFS,OK,3572,1598,511605,726,0.05822950000037963,0.8214532000001782,1.015605499999765,
800,DFS,OK,580495,263680,401123,259452,0.06003039999995963,1.0797453999994104,1.3064545999995971,
800,UCS,OK,2167,1654,511605,1226,0.057864600000357314,1.7610108999997465,1.9624391999996078,
1600,BFS,OK,7203,3198,2044891,1441,0.23582249999981286,3.8671266000001197,4.256458799999564,
1600,DFS,OK,2285476,1039300,1584052,1026083,0.2327346000001853,5.713534999999865,6.251932200000738,
1600,UCS,OK,4338,3300,2044887,2426,0.23461889999998675,9.438434400000006,9.855487700000594,
